Dont_Be_Inside_Root_Chest
BulletPower,800
BulletSpeed,0
Acceleration,1.02f
accelerationDelay,0
accelerationFuse,80
bulletFuse,900
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
isOneuse,true
MaxstackSize,16
Explosion,2.5f
BlockDestory,true
Texture,R-73
ObjModel,R-73.mqo
ObjTexture,R-3.png
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,80

BulletNameALL,R-73AAM
lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true
lock_to_Vehicle,true

Induction_precision,8
bulletStability,0.4
hasVT,true
VTRange,20
VTWidth,90
damagerange,30
Canlock,true
lock_to_Vehicle,true
seekerSize_bullet,90
seekerSize,60

NeedFix,true

Turretanglelimit,0,0,0,0


Tabname,VehicleWeapons
Name,R-73
RR,R-73
